"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051607","defense response to virus","48/271","334/18860",0.143712574850299,10.001546722054,20.0408208388475,5.04085481800993e-34,1.66045757705247e-30,1.41037811644951e-30,"IFI27/IFI44L/OAS1/USP18/PLSCR1/IFITM3/OAS3/EIF2AK2/OAS2/MX1/TRIM6/ISG15/RSAD2/DDX60/IFI6/HERC5/IFIT1/IRF7/OASL/IFIT3/IFIH1/PARP9/DHX58/IFIT2/IFIT5/TRIM22/CXCL10/MOV10/APOBEC3A/ZBP1/DDX60L/RIGI/IFI16/LILRB1/DTX3L/BST2/RTP4/SHFL/PML/UNC93B1/MX2/NT5C3A/AIM2/TREX1/STAT2/TICAM1/IRF5/TRIM5",48
"GO:0009615","response to virus","52/271","445/18860",0.11685393258427,8.13234379534807,18.3841000503837,2.65388204266235e-32,4.37094372426489e-29,3.71264129968238e-29,"IFI27/IFI44L/IFI44/OAS1/USP18/PLSCR1/IFITM3/OAS3/EIF2AK2/OAS2/MX1/TRIM6/ISG15/RSAD2/DDX60/IFI6/HERC5/IFIT1/IRF7/OASL/IFIT3/IFIH1/PARP9/DHX58/IFIT2/IFIT5/TRIM22/CXCL10/CCL8/MOV10/APOBEC3A/ZBP1/DDX60L/RIGI/IFI16/LILRB1/DTX3L/BST2/JAK2/RTP4/SHFL/PML/UNC93B1/MX2/NT5C3A/LGALS9/AIM2/TREX1/STAT2/TICAM1/IRF5/TRIM5",52
"GO:0045071","negative regulation of viral genome replication","18/271","50/18860",0.36,25.0538745387454,20.563243005259,4.62569916109875e-21,5.07901767888643e-18,4.31407311235105e-18,"OAS1/PLSCR1/IFITM3/OAS3/EIF2AK2/OAS2/MX1/TRIM6/ISG15/RSAD2/IFIT1/OASL/IFIH1/IFIT5/APOBEC3A/IFI16/BST2/SHFL",18
"GO:1903900","regulation of viral life cycle","23/271","115/18860",0.2,13.9188191881919,16.7781850370246,4.57522055381994e-20,3.76769412607072e-17,3.20024637685616e-17,"OAS1/PLSCR1/IFITM3/OAS3/EIF2AK2/OAS2/MX1/TRIM6/AXL/ISG15/RSAD2/TMPRSS2/IFIT1/OASL/IFIH1/LAMP3/IFIT5/APOBEC3A/IFI16/BST2/SHFL/LGALS9/TRIM5",23
"GO:0050792","regulation of viral process","24/271","141/18860",0.170212765957447,11.8458035644186,15.6079523508162,3.72342202295019e-19,2.45299042871958e-16,2.08354857621086e-16,"OAS1/PLSCR1/IFITM3/OAS3/EIF2AK2/OAS2/MX1/TRIM6/AXL/ISG15/RSAD2/TMPRSS2/IFIT1/OASL/IFIH1/LAMP3/SP100/IFIT5/APOBEC3A/IFI16/BST2/SHFL/LGALS9/TRIM5",24
"GO:0048525","negative regulation of viral process","19/271","76/18860",0.25,17.3985239852399,17.2955141804249,9.55961792428493e-19,5.24823024043243e-16,4.45780077942971e-16,"OAS1/PLSCR1/IFITM3/OAS3/EIF2AK2/OAS2/MX1/TRIM6/ISG15/RSAD2/IFIT1/OASL/IFIH1/SP100/IFIT5/APOBEC3A/IFI16/BST2/SHFL",19
"GO:0045069","regulation of viral genome replication","18/271","80/18860",0.225,15.6586715867159,15.8638201113815,6.197277394918e-17,2.91626167697999e-14,2.47704711514166e-14,"OAS1/PLSCR1/IFITM3/OAS3/EIF2AK2/OAS2/MX1/TRIM6/ISG15/RSAD2/IFIT1/OASL/IFIH1/IFIT5/APOBEC3A/IFI16/BST2/SHFL",18
"GO:0016032","viral process","33/271","396/18860",0.0833333333333333,5.79950799507995,11.654600163008,3.58362431707964e-16,1.47555731255754e-13,1.25332545194706e-13,"SIGLEC1/OAS1/PLSCR1/IFITM3/OAS3/EIF2AK2/OAS2/MX1/TRIM6/AXL/ISG15/RSAD2/TMPRSS2/IFIT1/IRF7/OASL/IFIH1/PARP9/LAMP3/SP100/IFIT5/CCL8/JUN/CTSL/APOBEC3A/PARP10/IFI16/BST2/SHFL/LGALS9/SCARB2/CHMP5/TRIM5",33
"GO:0140374","antiviral innate immune response","17/271","79/18860",0.215189873417722,14.9759446961558,15.0297350495339,1.03387705869145e-15,3.78399003481072e-13,3.21408797894957e-13,"OAS1/USP18/OAS3/EIF2AK2/OAS2/MX1/TRIM6/IFIT1/OASL/IFIT3/IFIH1/DHX58/IFIT2/TRIM22/CXCL10/ZBP1/RIGI",17
"GO:0034340","response to type I interferon","18/271","99/18860",0.181818181818182,12.6534719892653,14.0365670378904,3.43893191157255e-15,1.03237364498262e-12,8.76889128036236e-13,"IFI27/OAS1/USP18/IFITM3/OAS3/OAS2/MX1/TRIM6/ISG15/IFIT1/IRF7/OASL/IFIH1/SP100/ZBP1/SHFL/TREX1/STAT2",18
