"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003725","double-stranded RNA binding","11/281","77/18662",0.142857142857143,9.48754448398576,9.22746044515636,2.0559423287986e-08,1.06086624166008e-05,9.39241021787991e-06,"OAS1/OAS3/EIF2AK2/OAS2/DDX60/OASL/IFIH1/DHX58/ZBP1/DDX60L/RIGI",11
"GO:0016779","nucleotidyltransferase activity","11/281","147/18662",0.0748299319727891,4.96966615827826,5.97429746904208,1.43581935573105e-05,0.00370441393778612,0.00327971368624883,"OAS1/OAS3/OAS2/OASL/PARP14/TENT5A/PARP9/PARP12/PARP10/PNPT1/POLQ",11
"GO:0003727","single-stranded RNA binding","8/281","90/18662",0.0888888888888889,5.90336101225781,5.76529900060188,6.37483903569192e-05,0.0109647231413901,0.00970764961926419,"DDX60/IFIH1/PATL1/DHX58/IFIT5/DDX60L/RIGI/PNPT1",8
"GO:0016763","pentosyltransferase activity","6/281","49/18662",0.122448979591837,8.13218098627351,6.18085073247857,8.97069717562102e-05,0.0109674056466687,0.00971002458313797,"PARP14/PARP9/PARP12/PARP10/LACC1/TYMP",6
"GO:0030527","structural constituent of chromatin","8/281","98/18662",0.0816326530612245,5.42145399084901,5.42598285308274,0.000116687287724062,0.0109674056466687,0.00971002458313797,"H3C4/H2BC5/H1-6/H2BC7/H4C3/H2AC7/H1-0/H2BC6",8
"GO:0016887","ATP hydrolysis activity","17/281","400/18662",0.0425,2.82254448398577,4.55585625109648,0.000127527972635683,0.0109674056466687,0.00971002458313797,"DDX60/IFIH1/DHX58/RNF213/KIF18B/MOV10/DDX60L/KIF14/RIGI/ABCA1/ATP8B4/KIF23/HSP90AB4P/HELZ2/POLQ/KIFC1/TOR1B",17
"GO:0003724","RNA helicase activity","7/281","77/18662",0.0909090909090909,6.03752830799094,5.47668330823441,0.000159293911094488,0.0117422368749651,0.0103960236714297,"DDX60/IFIH1/DHX58/MOV10/DDX60L/RIGI/HELZ2",7
"GO:0008186","ATP-dependent activity, acting on RNA","7/281","79/18662",0.0886075949367089,5.88467949006712,5.3793246289171,0.00018717012752616,0.0120724732254373,0.0106883993876781,"DDX60/IFIH1/DHX58/MOV10/DDX60L/RIGI/HELZ2",7
"GO:0001786","phosphatidylserine binding","6/281","61/18662",0.0983606557377049,6.5324076774984,5.3511484021273,0.000306332008247626,0.0163179649713124,0.0144471578897381,"C1QC/AXL/ANXA10/C1QB/OSBPL5/SCARB2",6
"GO:0003950","NAD+ poly-ADP-ribosyltransferase activity","4/281","23/18662",0.173913043478261,11.5500541544175,6.25955344162864,0.000355494464992969,0.0163179649713124,0.0144471578897381,"PARP14/PARP9/PARP12/PARP10",4
"GO:1990404","NAD+-protein mono-ADP-ribosyltransferase activity","4/281","23/18662",0.173913043478261,11.5500541544175,6.25955344162864,0.000355494464992969,0.0163179649713124,0.0144471578897381,"PARP14/PARP9/PARP12/PARP10",4
"GO:0120543","macromolecular conformation isomerase activity","13/281","283/18662",0.0459363957597173,3.05076518743005,4.29817668698303,0.000379487557472382,0.0163179649713124,0.0144471578897381,"DDX60/IFIH1/DHX58/KIF18B/MOV10/DDX60L/KIF14/RIGI/KIF23/HELZ2/POLQ/KIFC1/KIF4A",13
"GO:0038024","cargo receptor activity","6/281","65/18662",0.0923076923076923,6.13041335888311,5.12299154838558,0.000433398769644709,0.0172025973182054,0.0152303697186886,"LGALS3BP/HMMR/ABCA1/MSR1/STAB1/SCARB2",6
"GO:0005044","scavenger receptor activity","4/281","26/18662",0.153846153846154,10.2173555981385,5.81504010768775,0.00057924951501921,0.0213494821249938,0.0189018262795742,"LGALS3BP/MSR1/STAB1/SCARB2",4
"GO:0140303","intramembrane lipid transporter activity","5/281","49/18662",0.102040816326531,6.77681748856126,5.00627321071737,0.000828682855685119,0.0278557889967303,0.0246622040485128,"PLSCR1/PLSCR2/ABCA1/ATP8B4/PLSCR4",5
"GO:0032396","inhibitory MHC class I receptor activity","3/281","13/18662",0.230769230769231,15.3260333972078,6.38860312829595,0.000863745395247452,0.0278557889967303,0.0246622040485128,"LILRB1/LILRA6/LILRB4",3
"GO:0070566","adenylyltransferase activity","4/281","30/18662",0.133333333333333,8.85504151838671,5.32372266700006,0.00101281500628415,0.0307419143083893,0.0272174435125275,"OAS1/OAS3/OAS2/TENT5A",4
