"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","17/153","173/9420",0.0982658959537572,6.05009633911368,8.61391968602218,2.47489210604077e-09,5.22202234374603e-07,4.81952673281624e-07,"4938/4940/5610/4939/4599/91543/7113/3665/64135/3627/23586/3717/5371/4600/8743/6773/148022",17
"Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","14/153","156/9420",0.0897435897435897,5.5253896430367,7.32314337371065,2.14212345653404e-07,2.1302827312851e-05,1.96608782882387e-05,"4938/4940/5610/4939/4599/91543/3434/3665/3627/1870/23586/4600/6773/148022",14
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease","17/153","239/9420",0.0711297071129707,4.37935843793584,6.79933982850074,3.0288380065665e-07,2.1302827312851e-05,1.96608782882387e-05,"4938/4940/5610/4939/714/4599/9636/717/629/7113/64135/3627/3725/713/23586/4600/6773",17
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","13/153","180/9420",0.0722222222222222,4.44662309368192,5.99891340528567,6.83786172526402e-06,0.000360697206007677,0.00033289589978259,"4938/4940/5610/4939/3665/64135/6672/23586/684/3717/5371/6773/148022",13
"Human Diseases","Infectious disease: viral","hsa05162","Measles","11/153","136/9420",0.0808823529411765,4.979815455594,6.00680252851054,1.23422703644048e-05,0.000520843809377884,0.000480698951034715,"4938/4940/5610/4939/4599/3665/64135/3725/23586/4600/6773",11
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","12/153","205/9420",0.0585365853658537,3.60401721664276,4.84341457538996,0.000122667247626591,0.00431379820820179,0.00398130540542445,"4938/4940/5610/4939/9636/3665/3627/3725/1870/23586/8900/6773",12
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","11/153","187/9420",0.0588235294117647,3.62168396770473,4.6527343401974,0.000226560507734556,0.00682918101885591,0.00630281111742751,"4938/4940/4939/3665/3725/3428/9447/838/6773/148022/84674",11
"Organismal Systems","Immune system","hsa04623","Cytosolic DNA-sensing pathway","7/153","83/9420",0.0843373493975904,5.19253484526341,4.92936049195455,0.0003842325545827,0.0101341336271187,0.00935302928918415,"3665/3627/81030/23586/3428/9447/11277",7
"Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","9/153","143/9420",0.0629370629370629,3.87494858083093,4.45115640085026,0.000520383175540612,0.0122000944487855,0.0112597529210542,"714/717/8351/713/3017/8343/8364/3013/8344",9
"Organismal Systems","Immune system","hsa04622","RIG-I-like receptor signaling pathway","6/153","72/9420",0.0833333333333333,5.13071895424837,4.52075609155381,0.00107554739409838,0.0226940500154759,0.0209448703061264,"9636/3665/64135/79132/3627/23586",6
"Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","9/153","163/9420",0.0552147239263804,3.39949476723205,3.97060796877465,0.00132663587277126,0.025447288104976,0.023485898226094,"3665/64135/3725/1870/23586/3717/8900/6773/148022",9
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","6/153","78/9420",0.0769230769230769,4.73604826546003,4.25714438961027,0.00163283729303695,0.0287107224025664,0.0264977981764769,"714/717/710/3725/713/148022",6
"Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","7/153","109/9420",0.0642201834862385,3.95394855189782,3.98562601607766,0.00194234811509588,0.0315258040219408,0.0290959029386832,"3665/3627/3725/6373/6773/148022/3663",7
