"GeneSymbol","GeneID","log2FoldChange","pvalue","padj","Significance"
"OTOF","9381",7.52434756921669,1.71656271679809e-13,3.97178281412743e-09,"Upregulated"
"IFI27","3429",7.47069902296614,1.23393269970836e-11,1.4275367402926e-07,"Upregulated"
"LOC105375172","105375172",-3.13906743865406,7.44667404479844e-11,5.74337146828488e-07,"Downregulated"
"CPEB1","64506",-1.3213183242253,5.07300482126259e-10,2.93447963885935e-06,"Downregulated"
"SIGLEC1","6614",4.58211955226078,1.9388122332967e-09,8.9720474908038e-06,"Upregulated"
"IFI44L","10964",4.45127633536861,1.46653930126242e-08,5.60530096002033e-05,"Upregulated"
"SPATS2L","26010",4.65292300539144,2.09037092693238e-08,5.60530096002033e-05,"Upregulated"
"C1QTNF7-AS1","101929095",1.93889631524422,1.72704971235944e-08,5.60530096002033e-05,"Upregulated"
"FBXO39","162517",3.46443819106197,2.42255206155257e-08,5.60530096002033e-05,"Upregulated"
"SAT1-DT","105373148",3.73534570956045,2.33509204318449e-08,5.60530096002033e-05,"Upregulated"
"NRIR","104326052",3.72921322610877,2.83346664156079e-08,5.96006828658487e-05,"Upregulated"
"LINC02471","105369734",3.41233771810144,3.35276315718728e-08,6.4646861609166e-05,"Upregulated"
"MIR5192","100847087",2.24579341804268,4.58306449315781e-08,8.15714971097581e-05,"Upregulated"
"LY6E","4061",3.26394403593016,5.6065157214786e-08,9.26596862596941e-05,"Upregulated"
"LOC101928391","101928391",5.60063585771625,7.87809591990339e-08,0.000113927114621703,"Upregulated"
